[2023-12-05 22:22:27,350] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2023-12-05 22:27:02,301] INFO [Controller id=0 epoch=3] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-12-05 22:27:02,328] INFO [Controller id=0 epoch=3] Sending LeaderAndIsr request to broker 0 with 52 become-leader and 0 become-follower partitions (state.change.logger)
[2023-12-05 22:27:02,330] INFO [Controller id=0 epoch=3] Sending UpdateMetadata request to brokers HashSet(0) for 52 partitions (state.change.logger)
[2023-12-05 22:27:02,457] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2023-12-05 22:27:02,472] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 3 as part of the become-leader transition for 52 partitions (state.change.logger)
[2023-12-05 22:27:02,477] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,478] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,483] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,487] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,491] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,495] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,499] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,503] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,507] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,511] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-05 22:27:02,515] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(k-jMtbsJT0WP-27pe747Lw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
