[2024-04-08 13:33:09,424] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2024-04-08 13:33:09,448] INFO [Controller id=0 epoch=2] Sending LeaderAndIsr request to broker 0 with 52 become-leader and 0 become-follower partitions (state.change.logger)
[2024-04-08 13:33:09,450] INFO [Controller id=0 epoch=2] Sending UpdateMetadata request to brokers HashSet(0) for 52 partitions (state.change.logger)
[2024-04-08 13:33:09,579] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2024-04-08 13:33:09,595] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 2 as part of the become-leader transition for 52 partitions (state.change.logger)
[2024-04-08 13:33:09,600] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,604] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,609] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,613] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,616] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,620] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,624] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,628] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,632] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,636] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,640] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,644] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,648] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,652] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,657] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,661] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,665] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,668] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,671] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,674] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,678] INFO [Broker id=0] Leader incoming-videos-0 with topic id Some(DMZ2Q_L_TCmKA4W8xTWXQQ) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,678] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2024-04-08 13:33:09,683] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(H56u7nT3QGCf28QGZA4EhQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
